alt_text,asset_id,credit,derivative_notes,download_date,focal,license,original_title,output_path,recommended_use,restrictions,rights_status,source_filename,source_page,source_sha256,source_site,source_type,source_url
Skyline view of a downtown Nashville street scene.,nashville-hero-poster,Tatiana Bidon,Cropped and resized to 2400×1350; no generative editing.,,center,Pexels License,,public/media/hero/nashville-hero-poster.jpg,Primary hero poster / Hero: Lower Broadway (day),Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/skyline-view-of-downtown-nashville-street-scene-29319083/,67607d879455a08bc418dad3cf03e706274c6be9a9324c5bce419c150e3bdd5d,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/skyline-view-of-downtown-nashville-street-scene-29319083/
Skyline view of a downtown Nashville street scene.,downtown-rooftop,Tatiana Bidon,Cropped and resized to 2400×1350; no generative editing.,,center,Pexels License,,public/media/hero/downtown-rooftop.jpg,Hero: Lower Broadway (day),Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/skyline-view-of-downtown-nashville-street-scene-29319083/,67607d879455a08bc418dad3cf03e706274c6be9a9324c5bce419c150e3bdd5d,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/skyline-view-of-downtown-nashville-street-scene-29319083/
Downtown Nashville at dusk.,live-music-night,Ceesz,Cropped and resized to 2400×1350; no generative editing.,,center,Pexels License,,public/media/hero/live-music-night.jpg,Hero: Live Music,Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/downtown-nasheville-at-dusk-17278177/,3e31d5b56b070a5e25293656141d17cd33b83d59579f64a2e13dec865896edbc,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/downtown-nasheville-at-dusk-17278177/
Robert’s Western World on Lower Broadway in downtown Nashville.,downtown-broadway,Nashville Convention & Visitors Corp,Cropped/resized to 1800×1200. Downloaded 2026-08-06.,2026-08-06,center,,Roberts Western World Broadway,public/media/neighborhoods/downtown-broadway.jpg,Neighborhood: downtown-broadway,CVC Media Library / listing photography. Formal usage authorization still required. Do not invent a Creative Commons license.,pending-authorization,Broadway-RobertsWesternWorld.jpg,https://www.visitmusiccity.com/,c758618724ab9eaf001e4773668a2078bdef7d1f38223b903c0c090b38e4ada3,Nashville Convention & Visitors Corp,Destination marketing organization media library,https://www.visitmusiccity.com/sites/default/files/2025-02/Broadway-RobertsWesternWorld.jpg
"Bastion restaurant exterior in Wedgewood-Houston, Nashville.",wedgewood-houston,Nashville Convention & Visitors Corp,Cropped/resized to 1800×1200. Downloaded 2026-08-06.,2026-08-06,center,,Bastion WeHo,public/media/neighborhoods/wedgewood-houston.jpg,Neighborhood: wedgewood-houston,CVC Media Library / listing photography. Formal usage authorization still required. Do not invent a Creative Commons license.,pending-authorization,2023-Bastion-WeHo-2-3299x2200-d358ddc.jpg,https://www.visitmusiccity.com/,682afd5a508484c1051859e7ca460955a8b526d89ba5b906e856bbd8b5ade8eb,Nashville Convention & Visitors Corp,Destination marketing organization media library,https://www.visitmusiccity.com/sites/default/files/2025-02/2023-Bastion-WeHo-2-3299x2200-d358ddc.jpg
A table of plated food at a Nashville restaurant.,restaurants,Big Plan Holdings / JBJ's Nashville,Center-cropped and resized to 1600×1067; no generative editing.,,center,BPH-owned media — user-authorized reuse on 2026-08-04,,public/media/hubs/restaurants.jpg,Hub: Restaurants / Eat & Drink,Category image only. The food is from JBJ’s; do not attach to a different named restaurant.,approved-owned,,https://www.jbjsnash.com/about,cfa57d3b051ed3ec62504af984c169bda1dfc2cb70daa0330010c01df52600b9,JBJ's Nashville,BPH-owned website media,https://cdn.prod.website-files.com/65ad4a7bad020b9b394222d8/687a88a0b84b6b768e78ffbd_JBJ%27S%20FOOD.jpg
Vibrant evening scene in downtown Nashville.,tickets,Mark Direen,Cropped and resized to 1600×1067; no generative editing.,,center,Pexels License,,public/media/hubs/tickets.jpg,Hub: Events & Tickets,Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/vibrant-evening-scene-in-downtown-nashville-36077403/,3289a9c739f5323a7812f6c57eb31afa83b143677fd940418029762059c20c25,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/vibrant-evening-scene-in-downtown-nashville-36077403/
People gathered in front of a Nashville building for live music.,live-music,Rachel Claire,Cropped and resized to 1600×1067; no generative editing.,,center,Pexels License,,public/media/hubs/live-music.jpg,Hub: Live Music,Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/people-gathered-in-front-of-a-building-6752433/,5bf169dabb33cfb7aa9fb82960bbcce49493b548c0d2bb951614b7250f12c34b,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/people-gathered-in-front-of-a-building-6752433/
Vibrant nightlife on Nashville Broadway at night.,honky-tonk-highway,Shea Gordon,Cropped and resized to 1600×1067; no generative editing.,,center,Pexels License,,public/media/hubs/honky-tonk-highway.jpg,Hub: Honky Tonk Highway,Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/vibrant-nightlife-on-nashville-s-broadway-street-35882376/,3bd18fb79248686b2a0ffc28462bfa8cad91c136ded310c519956167b80f1b46,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/vibrant-nightlife-on-nashville-s-broadway-street-35882376/
Nashville skyline with pedestrian bridge at sunrise.,weekend,gapeppy1,Cropped and resized to 1600×1067; no generative editing.,,center,Pexels License,,public/media/hubs/weekend.jpg,Hub: Weekend Guide,Pexels License — free for commercial use; attribution not required; no endorsement implied. Listed for credits completeness.,approved-open-license,,https://www.pexels.com/photo/nashville-skyline-with-pedestrian-bridge-at-sunrise-28981891/,9aa45a34e868d1ce5c4a2b7c54f5acc20c980c9b69131eb8f3048013ee9fd1b4,Pexels,Openly licensed Nashville photograph,https://www.pexels.com/photo/nashville-skyline-with-pedestrian-bridge-at-sunrise-28981891/
